# дата	версия	файлов	байт	sha256
2026-08-25	0.1.0	14	24527	4c8c00b4e9240872db6b0ae11cb76c48951bd7f2db933c028004269d7148b60c
2026-08-25	0.2.0	15	24941	0f558f3ef853cde37c31afa4ead4f17426eed0487f489b147ab25b1a4c1db972
